Environment,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1,CartPole-v1
260,45.0,46.0,33.0,500.0,474.0,14.0,451.0,360.0,102.0,387.0,159.0,38.0,10.0,500.0,16.0,61.0,12.0,315.0,214.0,500.0,319.0,32.0,20.0,413.0,9.0,500.0,500.0,52.0,152.0,500.0,61.0,194.0,9.0,221.0,385.0,77.0,110.0,10.0,54.0,499.0,500.0,410.0,247.0,9.0,27.0,190.0,181.0,500.0,462.0,63.0
261,104.0,46.0,34.0,500.0,500.0,63.0,257.0,226.0,104.0,419.0,110.0,102.0,10.0,500.0,17.0,97.0,11.0,222.0,122.0,500.0,92.0,73.0,19.0,214.0,9.0,500.0,500.0,44.0,246.0,500.0,177.0,159.0,9.0,222.0,379.0,55.0,500.0,10.0,138.0,500.0,500.0,306.0,60.0,9.0,35.0,500.0,178.0,500.0,500.0,206.0
262,48.0,46.0,34.0,500.0,500.0,47.0,194.0,314.0,102.0,242.0,110.0,67.0,10.0,500.0,16.0,46.0,12.0,292.0,327.0,500.0,339.0,36.0,19.0,456.0,9.0,500.0,500.0,120.0,217.0,500.0,86.0,468.0,10.0,200.0,374.0,20.0,131.0,10.0,148.0,500.0,500.0,321.0,91.0,9.0,49.0,147.0,359.0,500.0,475.0,55.0
263,66.0,45.0,34.0,500.0,314.0,31.0,290.0,500.0,104.0,261.0,264.0,104.0,10.0,500.0,16.0,41.0,9.0,454.0,247.0,500.0,152.0,63.0,24.0,175.0,9.0,500.0,500.0,85.0,301.0,500.0,161.0,190.0,10.0,190.0,417.0,40.0,340.0,10.0,140.0,438.0,500.0,500.0,134.0,9.0,12.0,234.0,404.0,500.0,500.0,81.0
264,68.0,47.0,33.0,500.0,411.0,22.0,283.0,500.0,104.0,500.0,124.0,42.0,10.0,440.0,16.0,20.0,9.0,290.0,103.0,500.0,500.0,35.0,20.0,180.0,9.0,500.0,500.0,101.0,161.0,500.0,92.0,176.0,9.0,148.0,453.0,18.0,203.0,10.0,144.0,455.0,500.0,275.0,101.0,9.0,17.0,312.0,61.0,500.0,446.0,79.0
265,21.0,46.0,39.0,500.0,500.0,43.0,253.0,477.0,104.0,215.0,94.0,27.0,10.0,382.0,17.0,26.0,9.0,216.0,216.0,467.0,395.0,42.0,22.0,500.0,9.0,500.0,500.0,66.0,247.0,500.0,137.0,208.0,9.0,136.0,437.0,10.0,450.0,10.0,110.0,500.0,500.0,500.0,271.0,9.0,42.0,500.0,197.0,500.0,500.0,115.0
266,42.0,50.0,40.0,500.0,500.0,95.0,172.0,409.0,104.0,471.0,144.0,74.0,10.0,353.0,14.0,22.0,9.0,387.0,218.0,500.0,191.0,32.0,22.0,314.0,9.0,500.0,500.0,124.0,154.0,500.0,54.0,216.0,10.0,129.0,474.0,19.0,327.0,10.0,159.0,478.0,434.0,500.0,52.0,9.0,40.0,197.0,100.0,500.0,500.0,178.0
267,78.0,47.0,38.0,500.0,178.0,41.0,183.0,500.0,102.0,52.0,109.0,44.0,10.0,331.0,17.0,29.0,9.0,242.0,125.0,500.0,262.0,22.0,23.0,361.0,9.0,500.0,500.0,58.0,178.0,500.0,99.0,377.0,9.0,131.0,485.0,20.0,209.0,10.0,290.0,289.0,382.0,500.0,71.0,9.0,31.0,500.0,151.0,500.0,500.0,138.0
268,61.0,46.0,41.0,500.0,500.0,40.0,227.0,300.0,102.0,290.0,109.0,144.0,10.0,377.0,16.0,48.0,9.0,339.0,140.0,500.0,185.0,48.0,24.0,312.0,9.0,500.0,500.0,49.0,196.0,500.0,137.0,227.0,9.0,132.0,500.0,67.0,178.0,10.0,202.0,409.0,335.0,500.0,246.0,9.0,30.0,500.0,77.0,500.0,357.0,177.0
269,58.0,47.0,36.0,279.0,255.0,47.0,192.0,290.0,100.0,325.0,133.0,46.0,10.0,445.0,14.0,26.0,9.0,277.0,215.0,500.0,289.0,21.0,22.0,345.0,9.0,500.0,500.0,241.0,261.0,500.0,161.0,277.0,9.0,132.0,500.0,27.0,280.0,10.0,149.0,500.0,294.0,304.0,88.0,9.0,61.0,500.0,213.0,500.0,500.0,255.0
270,231.0,52.0,38.0,348.0,500.0,36.0,179.0,459.0,104.0,137.0,103.0,165.0,10.0,500.0,14.0,220.0,9.0,456.0,134.0,326.0,131.0,111.0,24.0,374.0,9.0,500.0,500.0,46.0,165.0,500.0,64.0,231.0,9.0,134.0,500.0,62.0,216.0,10.0,280.0,410.0,266.0,500.0,35.0,9.0,110.0,500.0,186.0,500.0,500.0,193.0
271,63.0,54.0,41.0,500.0,381.0,31.0,181.0,232.0,104.0,382.0,129.0,39.0,10.0,500.0,16.0,158.0,9.0,254.0,153.0,256.0,272.0,81.0,25.0,446.0,9.0,500.0,500.0,37.0,196.0,500.0,69.0,270.0,9.0,133.0,500.0,26.0,207.0,10.0,195.0,479.0,248.0,500.0,122.0,9.0,87.0,500.0,194.0,500.0,500.0,150.0
272,94.0,63.0,36.0,353.0,313.0,42.0,176.0,500.0,100.0,255.0,131.0,42.0,10.0,500.0,14.0,83.0,9.0,181.0,109.0,500.0,329.0,79.0,24.0,500.0,9.0,500.0,500.0,67.0,203.0,500.0,285.0,406.0,10.0,128.0,500.0,56.0,234.0,10.0,204.0,500.0,235.0,500.0,98.0,9.0,41.0,500.0,165.0,500.0,301.0,112.0
273,68.0,56.0,40.0,290.0,404.0,54.0,160.0,460.0,101.0,165.0,114.0,37.0,10.0,500.0,14.0,32.0,9.0,499.0,123.0,270.0,376.0,22.0,29.0,376.0,9.0,500.0,500.0,87.0,176.0,500.0,95.0,299.0,9.0,127.0,500.0,28.0,108.0,10.0,160.0,500.0,237.0,500.0,61.0,9.0,41.0,500.0,202.0,500.0,500.0,122.0
274,27.0,56.0,36.0,345.0,376.0,34.0,240.0,485.0,104.0,221.0,163.0,71.0,10.0,500.0,16.0,70.0,9.0,259.0,104.0,500.0,342.0,58.0,24.0,500.0,9.0,500.0,500.0,47.0,372.0,500.0,144.0,278.0,9.0,138.0,500.0,53.0,75.0,10.0,256.0,498.0,238.0,500.0,191.0,9.0,81.0,500.0,108.0,430.0,348.0,282.0
275,21.0,56.0,33.0,329.0,392.0,73.0,189.0,317.0,104.0,258.0,123.0,125.0,10.0,500.0,16.0,86.0,9.0,242.0,114.0,500.0,486.0,119.0,30.0,500.0,9.0,500.0,500.0,152.0,228.0,500.0,121.0,273.0,9.0,148.0,500.0,28.0,144.0,10.0,158.0,500.0,242.0,335.0,76.0,9.0,53.0,500.0,270.0,500.0,500.0,73.0
276,125.0,64.0,36.0,428.0,500.0,68.0,165.0,428.0,102.0,289.0,128.0,55.0,10.0,500.0,16.0,70.0,9.0,296.0,169.0,398.0,166.0,30.0,24.0,500.0,9.0,500.0,500.0,16.0,172.0,500.0,125.0,500.0,9.0,142.0,500.0,112.0,167.0,10.0,126.0,500.0,243.0,433.0,106.0,9.0,17.0,500.0,123.0,500.0,309.0,29.0
277,46.0,48.0,36.0,500.0,500.0,27.0,196.0,372.0,104.0,305.0,132.0,69.0,10.0,500.0,16.0,69.0,9.0,406.0,120.0,500.0,324.0,46.0,24.0,195.0,9.0,500.0,500.0,125.0,296.0,500.0,57.0,309.0,9.0,159.0,500.0,48.0,94.0,10.0,171.0,485.0,239.0,500.0,241.0,9.0,18.0,500.0,101.0,246.0,500.0,175.0
278,34.0,51.0,39.0,500.0,384.0,125.0,140.0,231.0,104.0,42.0,125.0,101.0,10.0,500.0,13.0,22.0,9.0,286.0,83.0,500.0,153.0,63.0,30.0,112.0,9.0,500.0,500.0,80.0,147.0,500.0,262.0,318.0,9.0,144.0,500.0,31.0,500.0,10.0,54.0,500.0,231.0,179.0,146.0,9.0,24.0,500.0,243.0,500.0,371.0,129.0
279,59.0,51.0,37.0,500.0,500.0,33.0,281.0,375.0,104.0,378.0,116.0,36.0,10.0,476.0,16.0,22.0,9.0,396.0,31.0,500.0,500.0,83.0,24.0,500.0,9.0,500.0,500.0,24.0,140.0,500.0,58.0,380.0,9.0,159.0,500.0,89.0,297.0,10.0,51.0,500.0,222.0,496.0,20.0,9.0,26.0,374.0,184.0,500.0,409.0,102.0
280,100.0,49.0,40.0,500.0,303.0,42.0,142.0,493.0,104.0,500.0,137.0,164.0,10.0,337.0,17.0,35.0,9.0,332.0,53.0,388.0,151.0,59.0,27.0,171.0,9.0,500.0,500.0,31.0,168.0,500.0,60.0,429.0,10.0,145.0,500.0,11.0,479.0,10.0,291.0,500.0,212.0,500.0,83.0,9.0,24.0,500.0,92.0,500.0,489.0,250.0
281,33.0,45.0,36.0,500.0,500.0,32.0,111.0,280.0,104.0,283.0,254.0,56.0,10.0,292.0,15.0,110.0,9.0,233.0,122.0,292.0,193.0,104.0,27.0,439.0,9.0,500.0,500.0,180.0,146.0,500.0,77.0,321.0,10.0,157.0,500.0,53.0,123.0,10.0,108.0,500.0,207.0,411.0,151.0,9.0,137.0,500.0,129.0,500.0,364.0,96.0
282,147.0,44.0,41.0,500.0,500.0,42.0,208.0,500.0,104.0,216.0,328.0,26.0,10.0,256.0,16.0,58.0,9.0,420.0,97.0,478.0,261.0,44.0,29.0,260.0,9.0,500.0,500.0,37.0,127.0,500.0,40.0,374.0,9.0,164.0,485.0,18.0,462.0,10.0,170.0,500.0,196.0,500.0,18.0,9.0,37.0,500.0,357.0,500.0,500.0,33.0
283,88.0,43.0,36.0,500.0,297.0,66.0,202.0,406.0,104.0,286.0,116.0,85.0,10.0,226.0,16.0,115.0,9.0,289.0,49.0,500.0,249.0,38.0,29.0,452.0,9.0,500.0,500.0,145.0,236.0,500.0,194.0,356.0,9.0,142.0,500.0,52.0,180.0,10.0,141.0,500.0,193.0,500.0,208.0,9.0,39.0,500.0,214.0,500.0,282.0,232.0
284,39.0,43.0,36.0,500.0,500.0,40.0,128.0,403.0,104.0,183.0,159.0,25.0,10.0,218.0,16.0,41.0,9.0,316.0,85.0,500.0,212.0,194.0,32.0,441.0,9.0,500.0,500.0,160.0,127.0,500.0,144.0,384.0,9.0,148.0,500.0,10.0,259.0,10.0,169.0,500.0,186.0,500.0,89.0,9.0,39.0,500.0,145.0,500.0,500.0,234.0
285,53.0,40.0,41.0,500.0,500.0,57.0,217.0,362.0,104.0,419.0,124.0,45.0,10.0,203.0,14.0,98.0,9.0,206.0,130.0,500.0,176.0,59.0,31.0,500.0,9.0,500.0,500.0,219.0,220.0,500.0,111.0,500.0,9.0,147.0,500.0,25.0,378.0,10.0,147.0,500.0,182.0,500.0,206.0,9.0,17.0,500.0,165.0,500.0,498.0,222.0
286,89.0,43.0,43.0,500.0,500.0,59.0,234.0,357.0,106.0,263.0,121.0,77.0,10.0,176.0,14.0,54.0,9.0,326.0,119.0,500.0,271.0,47.0,27.0,339.0,9.0,500.0,500.0,52.0,136.0,500.0,57.0,372.0,10.0,159.0,500.0,18.0,285.0,10.0,202.0,500.0,178.0,500.0,79.0,9.0,21.0,500.0,188.0,410.0,500.0,258.0
287,59.0,38.0,45.0,500.0,500.0,69.0,182.0,368.0,104.0,179.0,136.0,113.0,10.0,182.0,15.0,29.0,9.0,357.0,67.0,500.0,200.0,139.0,30.0,282.0,9.0,500.0,500.0,107.0,181.0,500.0,194.0,500.0,9.0,150.0,500.0,26.0,141.0,10.0,212.0,500.0,176.0,500.0,80.0,9.0,71.0,500.0,188.0,500.0,489.0,239.0
288,120.0,39.0,49.0,500.0,360.0,40.0,169.0,356.0,106.0,473.0,135.0,74.0,10.0,153.0,14.0,22.0,9.0,272.0,154.0,500.0,415.0,89.0,33.0,116.0,9.0,367.0,500.0,68.0,187.0,500.0,131.0,500.0,10.0,137.0,500.0,19.0,277.0,10.0,247.0,461.0,180.0,500.0,157.0,9.0,50.0,500.0,168.0,500.0,388.0,30.0
289,68.0,36.0,62.0,500.0,500.0,83.0,221.0,272.0,105.0,424.0,222.0,110.0,10.0,169.0,13.0,73.0,9.0,298.0,123.0,500.0,269.0,95.0,30.0,500.0,9.0,297.0,500.0,34.0,230.0,500.0,193.0,500.0,9.0,149.0,500.0,25.0,265.0,10.0,192.0,368.0,189.0,500.0,191.0,9.0,52.0,500.0,226.0,500.0,500.0,19.0
290,119.0,36.0,62.0,500.0,500.0,44.0,174.0,268.0,108.0,258.0,265.0,36.0,10.0,157.0,13.0,43.0,9.0,368.0,139.0,500.0,147.0,169.0,31.0,318.0,9.0,289.0,500.0,109.0,228.0,500.0,195.0,500.0,9.0,148.0,500.0,31.0,328.0,10.0,165.0,500.0,191.0,500.0,198.0,9.0,48.0,500.0,179.0,500.0,426.0,153.0
291,97.0,36.0,57.0,500.0,500.0,57.0,134.0,275.0,108.0,242.0,132.0,83.0,10.0,153.0,13.0,103.0,9.0,348.0,147.0,500.0,286.0,50.0,37.0,404.0,9.0,312.0,500.0,114.0,225.0,500.0,190.0,500.0,9.0,147.0,500.0,43.0,182.0,10.0,224.0,500.0,46.0,500.0,289.0,9.0,20.0,500.0,158.0,150.0,500.0,273.0
292,89.0,34.0,61.0,500.0,500.0,63.0,224.0,226.0,108.0,500.0,207.0,48.0,10.0,147.0,11.0,74.0,9.0,213.0,143.0,500.0,453.0,53.0,35.0,370.0,9.0,308.0,500.0,41.0,160.0,500.0,133.0,500.0,9.0,159.0,500.0,16.0,148.0,10.0,133.0,500.0,214.0,500.0,100.0,9.0,40.0,500.0,174.0,390.0,500.0,119.0
293,132.0,33.0,101.0,500.0,500.0,78.0,151.0,500.0,108.0,340.0,255.0,57.0,10.0,141.0,11.0,69.0,9.0,246.0,125.0,500.0,156.0,36.0,36.0,405.0,9.0,307.0,500.0,58.0,196.0,500.0,122.0,500.0,9.0,155.0,500.0,22.0,500.0,10.0,309.0,500.0,227.0,500.0,254.0,9.0,14.0,500.0,170.0,500.0,468.0,216.0
294,125.0,33.0,101.0,500.0,473.0,72.0,344.0,223.0,108.0,354.0,207.0,72.0,10.0,133.0,11.0,81.0,9.0,255.0,204.0,500.0,347.0,22.0,37.0,500.0,9.0,302.0,500.0,109.0,217.0,500.0,172.0,500.0,9.0,184.0,500.0,34.0,338.0,10.0,175.0,500.0,56.0,402.0,95.0,9.0,17.0,500.0,211.0,500.0,461.0,250.0
295,68.0,32.0,98.0,500.0,500.0,74.0,188.0,231.0,108.0,271.0,191.0,92.0,10.0,143.0,11.0,69.0,9.0,370.0,260.0,500.0,345.0,89.0,40.0,500.0,9.0,324.0,500.0,43.0,376.0,500.0,62.0,500.0,11.0,235.0,500.0,20.0,195.0,10.0,215.0,500.0,101.0,500.0,192.0,9.0,20.0,500.0,167.0,500.0,500.0,195.0
296,106.0,32.0,105.0,500.0,500.0,43.0,165.0,335.0,108.0,379.0,198.0,90.0,10.0,136.0,11.0,52.0,9.0,265.0,164.0,500.0,286.0,92.0,37.0,245.0,9.0,325.0,500.0,60.0,200.0,500.0,180.0,500.0,9.0,279.0,500.0,23.0,191.0,10.0,152.0,500.0,25.0,500.0,159.0,9.0,15.0,500.0,147.0,500.0,500.0,232.0
297,106.0,32.0,104.0,500.0,262.0,43.0,196.0,238.0,108.0,435.0,395.0,139.0,10.0,129.0,10.0,65.0,9.0,204.0,176.0,500.0,213.0,103.0,38.0,500.0,9.0,344.0,500.0,31.0,224.0,491.0,93.0,500.0,10.0,362.0,500.0,16.0,298.0,10.0,243.0,500.0,275.0,500.0,64.0,9.0,23.0,500.0,79.0,500.0,307.0,167.0
298,94.0,31.0,114.0,500.0,500.0,124.0,119.0,309.0,108.0,500.0,169.0,30.0,10.0,122.0,10.0,24.0,9.0,262.0,232.0,500.0,222.0,146.0,40.0,119.0,9.0,245.0,500.0,196.0,262.0,471.0,133.0,500.0,10.0,467.0,500.0,16.0,238.0,10.0,212.0,500.0,299.0,500.0,269.0,9.0,16.0,500.0,203.0,500.0,500.0,183.0
299,43.0,28.0,112.0,500.0,314.0,48.0,284.0,500.0,110.0,233.0,190.0,50.0,10.0,128.0,10.0,42.0,9.0,194.0,134.0,500.0,339.0,72.0,40.0,493.0,9.0,257.0,500.0,100.0,185.0,248.0,42.0,500.0,11.0,500.0,500.0,52.0,241.0,10.0,394.0,500.0,347.0,500.0,190.0,9.0,48.0,500.0,222.0,436.0,500.0,207.0
300,54.0,30.0,115.0,500.0,500.0,21.0,238.0,244.0,110.0,275.0,205.0,115.0,10.0,129.0,9.0,38.0,9.0,164.0,191.0,500.0,273.0,62.0,42.0,163.0,9.0,264.0,500.0,162.0,200.0,390.0,146.0,500.0,10.0,500.0,500.0,31.0,439.0,10.0,306.0,500.0,408.0,500.0,141.0,9.0,56.0,500.0,117.0,370.0,500.0,166.0
301,68.0,30.0,119.0,500.0,454.0,49.0,264.0,324.0,110.0,391.0,449.0,90.0,10.0,127.0,10.0,83.0,9.0,313.0,227.0,500.0,212.0,48.0,45.0,352.0,9.0,268.0,500.0,135.0,152.0,385.0,156.0,500.0,9.0,500.0,500.0,25.0,249.0,10.0,119.0,500.0,492.0,437.0,179.0,9.0,25.0,500.0,199.0,500.0,500.0,160.0
302,46.0,30.0,165.0,500.0,500.0,56.0,293.0,229.0,112.0,500.0,94.0,60.0,10.0,125.0,9.0,17.0,9.0,204.0,262.0,500.0,380.0,102.0,40.0,500.0,9.0,185.0,500.0,126.0,255.0,189.0,32.0,500.0,12.0,500.0,500.0,51.0,305.0,10.0,121.0,500.0,500.0,500.0,217.0,9.0,59.0,500.0,153.0,500.0,500.0,174.0
303,45.0,33.0,183.0,500.0,500.0,156.0,500.0,466.0,111.0,500.0,201.0,32.0,10.0,118.0,9.0,16.0,9.0,277.0,267.0,500.0,240.0,60.0,40.0,474.0,9.0,205.0,500.0,122.0,156.0,236.0,43.0,500.0,9.0,500.0,500.0,61.0,500.0,10.0,337.0,500.0,500.0,500.0,61.0,9.0,36.0,500.0,95.0,500.0,500.0,173.0
304,87.0,34.0,255.0,500.0,500.0,21.0,350.0,302.0,116.0,104.0,121.0,27.0,10.0,119.0,9.0,37.0,9.0,500.0,287.0,500.0,260.0,71.0,45.0,333.0,9.0,169.0,500.0,123.0,258.0,396.0,49.0,359.0,9.0,500.0,500.0,20.0,199.0,10.0,190.0,500.0,500.0,500.0,363.0,9.0,59.0,500.0,123.0,500.0,221.0,174.0
305,43.0,34.0,86.0,500.0,500.0,33.0,417.0,443.0,111.0,500.0,185.0,159.0,10.0,121.0,9.0,93.0,9.0,172.0,160.0,500.0,366.0,162.0,43.0,150.0,9.0,165.0,500.0,103.0,240.0,394.0,135.0,500.0,10.0,500.0,500.0,93.0,218.0,10.0,217.0,500.0,500.0,500.0,58.0,9.0,40.0,500.0,151.0,500.0,500.0,166.0
306,117.0,34.0,70.0,500.0,500.0,58.0,300.0,356.0,111.0,500.0,285.0,54.0,10.0,120.0,9.0,61.0,9.0,147.0,226.0,500.0,400.0,80.0,49.0,167.0,9.0,166.0,500.0,177.0,227.0,213.0,109.0,500.0,9.0,500.0,481.0,14.0,312.0,10.0,203.0,500.0,500.0,471.0,383.0,9.0,39.0,500.0,208.0,500.0,500.0,159.0
307,101.0,34.0,72.0,500.0,500.0,43.0,454.0,500.0,111.0,500.0,286.0,65.0,10.0,121.0,9.0,86.0,9.0,191.0,290.0,500.0,221.0,203.0,38.0,136.0,9.0,158.0,500.0,31.0,310.0,260.0,52.0,443.0,9.0,500.0,500.0,20.0,243.0,10.0,298.0,500.0,500.0,500.0,127.0,9.0,16.0,500.0,64.0,500.0,500.0,177.0
308,108.0,33.0,62.0,500.0,500.0,90.0,271.0,451.0,110.0,157.0,289.0,24.0,10.0,123.0,9.0,32.0,9.0,329.0,218.0,500.0,419.0,51.0,37.0,206.0,9.0,137.0,500.0,82.0,274.0,500.0,24.0,500.0,9.0,500.0,500.0,21.0,406.0,10.0,344.0,500.0,500.0,500.0,40.0,9.0,30.0,500.0,193.0,500.0,500.0,166.0
309,66.0,33.0,63.0,500.0,500.0,47.0,226.0,321.0,112.0,366.0,183.0,34.0,10.0,123.0,9.0,78.0,9.0,176.0,171.0,500.0,432.0,176.0,45.0,369.0,9.0,138.0,500.0,124.0,259.0,322.0,158.0,500.0,9.0,500.0,500.0,27.0,141.0,10.0,214.0,500.0,500.0,500.0,127.0,9.0,13.0,500.0,190.0,500.0,500.0,172.0
310,27.0,33.0,54.0,500.0,500.0,40.0,500.0,500.0,110.0,398.0,245.0,53.0,10.0,121.0,9.0,125.0,9.0,276.0,291.0,500.0,209.0,44.0,43.0,500.0,9.0,106.0,500.0,54.0,180.0,370.0,223.0,500.0,9.0,500.0,500.0,17.0,223.0,10.0,204.0,500.0,500.0,500.0,106.0,9.0,35.0,500.0,154.0,500.0,500.0,38.0
311,226.0,33.0,48.0,500.0,500.0,52.0,302.0,274.0,108.0,200.0,190.0,163.0,10.0,119.0,9.0,24.0,9.0,286.0,243.0,254.0,279.0,43.0,40.0,106.0,9.0,118.0,500.0,32.0,243.0,218.0,178.0,500.0,12.0,500.0,500.0,25.0,307.0,10.0,366.0,500.0,500.0,500.0,61.0,9.0,40.0,500.0,217.0,500.0,329.0,160.0
312,53.0,32.0,51.0,500.0,453.0,46.0,500.0,334.0,108.0,202.0,262.0,39.0,10.0,127.0,9.0,42.0,9.0,256.0,392.0,500.0,368.0,122.0,43.0,366.0,9.0,186.0,500.0,113.0,318.0,452.0,124.0,500.0,12.0,500.0,500.0,37.0,372.0,10.0,232.0,500.0,500.0,500.0,101.0,9.0,24.0,500.0,69.0,500.0,500.0,193.0
313,87.0,33.0,42.0,500.0,500.0,22.0,500.0,348.0,108.0,263.0,185.0,31.0,10.0,124.0,9.0,62.0,9.0,415.0,500.0,500.0,290.0,139.0,39.0,287.0,9.0,377.0,500.0,87.0,287.0,390.0,163.0,500.0,9.0,500.0,500.0,17.0,147.0,10.0,404.0,500.0,500.0,500.0,49.0,9.0,91.0,500.0,363.0,500.0,449.0,174.0
314,75.0,33.0,42.0,500.0,500.0,32.0,265.0,275.0,108.0,474.0,167.0,57.0,10.0,126.0,9.0,45.0,9.0,287.0,485.0,500.0,397.0,76.0,41.0,279.0,9.0,273.0,500.0,169.0,300.0,236.0,92.0,500.0,11.0,500.0,500.0,19.0,176.0,10.0,298.0,500.0,500.0,500.0,166.0,9.0,18.0,500.0,186.0,500.0,500.0,182.0
315,124.0,32.0,43.0,500.0,500.0,53.0,221.0,352.0,110.0,289.0,325.0,53.0,10.0,128.0,9.0,55.0,9.0,270.0,385.0,500.0,203.0,278.0,44.0,174.0,9.0,241.0,500.0,150.0,178.0,246.0,51.0,500.0,9.0,500.0,500.0,103.0,257.0,10.0,203.0,500.0,500.0,500.0,390.0,9.0,11.0,500.0,318.0,500.0,484.0,192.0
316,95.0,32.0,39.0,221.0,500.0,131.0,329.0,364.0,111.0,204.0,135.0,116.0,10.0,129.0,9.0,108.0,9.0,326.0,367.0,500.0,257.0,98.0,38.0,139.0,9.0,213.0,500.0,61.0,223.0,316.0,167.0,308.0,11.0,500.0,500.0,40.0,312.0,10.0,103.0,500.0,500.0,500.0,195.0,9.0,33.0,500.0,309.0,500.0,500.0,204.0
317,64.0,33.0,38.0,158.0,500.0,48.0,500.0,394.0,111.0,278.0,347.0,108.0,10.0,133.0,9.0,74.0,9.0,139.0,306.0,500.0,296.0,58.0,40.0,173.0,9.0,227.0,500.0,67.0,241.0,280.0,91.0,500.0,10.0,500.0,500.0,50.0,434.0,10.0,307.0,500.0,500.0,500.0,179.0,9.0,68.0,500.0,204.0,500.0,500.0,191.0
318,90.0,33.0,34.0,247.0,500.0,76.0,293.0,500.0,110.0,244.0,190.0,136.0,10.0,133.0,9.0,181.0,9.0,452.0,480.0,405.0,500.0,199.0,39.0,254.0,9.0,219.0,500.0,160.0,246.0,456.0,161.0,500.0,12.0,500.0,500.0,18.0,260.0,10.0,129.0,500.0,500.0,500.0,231.0,9.0,39.0,500.0,144.0,500.0,500.0,182.0
319,119.0,34.0,35.0,358.0,500.0,84.0,500.0,500.0,110.0,344.0,148.0,56.0,10.0,137.0,9.0,50.0,9.0,256.0,331.0,500.0,475.0,86.0,41.0,316.0,9.0,210.0,500.0,111.0,223.0,420.0,283.0,500.0,9.0,500.0,500.0,26.0,184.0,10.0,325.0,500.0,500.0,500.0,178.0,9.0,35.0,500.0,189.0,500.0,500.0,212.0
320,57.0,34.0,39.0,500.0,500.0,103.0,238.0,373.0,111.0,263.0,266.0,90.0,10.0,135.0,9.0,122.0,9.0,413.0,299.0,500.0,384.0,51.0,49.0,177.0,9.0,193.0,500.0,118.0,243.0,500.0,202.0,500.0,10.0,500.0,500.0,16.0,118.0,10.0,111.0,500.0,500.0,500.0,235.0,9.0,18.0,500.0,225.0,500.0,500.0,178.0
321,160.0,36.0,35.0,500.0,500.0,64.0,241.0,390.0,110.0,261.0,194.0,23.0,10.0,142.0,9.0,100.0,9.0,500.0,241.0,500.0,500.0,131.0,43.0,240.0,9.0,172.0,500.0,155.0,306.0,500.0,210.0,500.0,11.0,500.0,500.0,33.0,500.0,10.0,186.0,500.0,500.0,500.0,208.0,9.0,60.0,500.0,344.0,500.0,500.0,190.0
322,139.0,40.0,36.0,500.0,500.0,50.0,367.0,466.0,110.0,130.0,159.0,129.0,10.0,136.0,9.0,59.0,9.0,263.0,96.0,347.0,402.0,80.0,43.0,288.0,9.0,162.0,500.0,91.0,209.0,459.0,119.0,184.0,10.0,500.0,500.0,60.0,74.0,10.0,224.0,500.0,500.0,500.0,240.0,9.0,60.0,500.0,500.0,500.0,500.0,96.0
323,152.0,41.0,31.0,500.0,500.0,66.0,409.0,435.0,110.0,208.0,134.0,82.0,10.0,144.0,9.0,48.0,9.0,335.0,363.0,500.0,314.0,130.0,47.0,150.0,9.0,231.0,500.0,63.0,171.0,500.0,304.0,500.0,9.0,500.0,500.0,20.0,269.0,10.0,289.0,500.0,500.0,500.0,69.0,9.0,30.0,500.0,151.0,500.0,500.0,206.0
324,118.0,41.0,30.0,500.0,438.0,101.0,500.0,500.0,110.0,140.0,183.0,142.0,10.0,140.0,9.0,41.0,9.0,344.0,428.0,500.0,275.0,48.0,45.0,500.0,9.0,220.0,500.0,45.0,270.0,500.0,144.0,227.0,9.0,500.0,500.0,16.0,223.0,10.0,299.0,500.0,500.0,417.0,133.0,9.0,32.0,500.0,282.0,500.0,500.0,195.0
325,52.0,41.0,33.0,500.0,500.0,33.0,194.0,500.0,108.0,193.0,165.0,78.0,10.0,152.0,9.0,60.0,9.0,500.0,349.0,500.0,500.0,117.0,48.0,353.0,9.0,253.0,500.0,18.0,292.0,500.0,208.0,208.0,9.0,500.0,500.0,52.0,323.0,10.0,207.0,246.0,500.0,500.0,118.0,9.0,37.0,500.0,337.0,69.0,500.0,216.0
326,135.0,45.0,32.0,500.0,382.0,24.0,308.0,479.0,108.0,198.0,229.0,50.0,10.0,148.0,9.0,82.0,9.0,500.0,290.0,500.0,224.0,45.0,47.0,326.0,9.0,302.0,500.0,45.0,500.0,500.0,202.0,500.0,14.0,500.0,500.0,68.0,401.0,10.0,124.0,325.0,500.0,372.0,38.0,9.0,80.0,500.0,346.0,500.0,500.0,179.0
